,Description,ID,Latitude,Longitude,Station_Entrance,StationCode1,StationCode2,census_block,census_blockgroup,census_tract,census_index
109,Station entrance is located north of bus bay and northeast corner of 14th St SE and Potomac Ave SE.,133,38.880767999999996,-76.985199,MAIN ENTRANCE (NE CORNER OF 14TH ST & PENNSYLVANIA AVE),D07,,2008,2,006900,0069002
110,Station entrance at the northeast corner of 19th St SE and Independence Ave SE.,135,38.888355,-76.977098,"NORTH ENTRANCE (STADIUM & ARMORY EXIT, EAST OF 19TH & A STs)",D08,,1024,1,006804,0068041
111,Station entrance located at the northeast corner of 19th St SE and C St SE.,136,38.885602,-76.977059,"SOUTH ENTRANCE (DC GENERAL EXIT, EAST SIDE OF 19TH ST BETWEEN C AND BURKE ST)",D08,,1011,1,006804,0068041
112,"Street level elevator located west of Minnesota Ave NE is accessible by the sidewalks from Minnesota Ave, bus bay and parking lot.",137,38.898807,-76.946692,SOUTH ELEVATOR ENTRANCE (West of Minnesota Ave NE),D09,,1004,1,007803,0078031
113,Station entrance is from the north end of the bus bay at Minnesota Ave. NE and Grant St. NE (Northwest side).,138,38.898607,-76.946922,SOUTH ENTRANCE (NW SIDE OF MINNESOTA AVE & GRANT ST),D09,,1004,1,007803,0078031
114,Pedestrian walkway from street level to station passageway is located at the east side of I-295 northbound  and is accessible by the pedestrian bridge originates at the west side of I-295(Kenilworth Ave NE) at Hayes St NE.,139,38.899569,-76.946823,NORTH TUNNEL ENTRANCE (ACCESS PEDESTRIAN BRIDGE FROM HAYES ST & I295),D09,,1020,1,009602,0096021
115,"Elevator from bus bay, kiss&ride area and parking lot located at the Minnesota Ave NE.",140,38.908190999999995,-76.934833,ELEVATOR ENTRANCE (ADJACENT TO MAIN ENTRANCE),D10,,2000,2,007806,0078062
116,"Station entrance is accessible from the bus bay, kiss&ride area and parking lot located at the Minnesota Ave NE.",141,38.908341,-76.934626,MAIN ENTRANCE (MINNESOTA AVE between NASH & 48th STs),D10,,2000,2,007806,0078062
117,"Walkway from the intersection of Polk St NE and Olive St NE, passageway goes under CSX rail tracks to the station.",142,38.908552,-76.935179,WEST WALKWAY ENTRANCE (POLK & OLIVER STs),D10,,1037,1,009601,0096011
118,"Escalator entrance from bus bay, parking lot, and walkway from Columbia Park Rd.",144,38.916255,-76.916519,"MAIN ENTRANCE (COLUMBIA PARK RD, FROM RT 50)",D11,,1005,1,803100,8031001
119,"Station entrance is accessible by the walkway from parking lot, bus bay and kiss&ride area located west of Pennsy Dr.",145,38.933429,-76.891189,"MAIN ENTRANCE (WEST PENNSY DR, NORTH OF LANDOVER RD)",D12,,1020,1,803509,8035091
120,"Canopied entrance  (towards passageway to station) from west side of the station is accessible from pedestrian bridge from IRS building, bus bay and parking lot located southeast corner of Ellis Rd and Harkins Rd.",147,38.948458,-76.872344,"NORTHWEST ENTRANCE (IRS EXIT, SE OF ELLIS RD & HARKINS RD)",D13,,1011,1,803612,8036121
121,East side station entrance is accessible from bus bay and parking lot located southwest corner of Garden City Dr and Corporate Dr.,148,38.947915,-76.871785,MAIN ENTRANCE (SW OF GARDEN CITY DR & CORPORATE DR),D13,,2003,2,803602,8036022
122,Station entrance from Convention Center building located at the southwest corner of M St NW and 7th St NW.,149,38.905522,-77.022349,"MAIN ELEVATOR ENTRANCE (CONVENTION CENTER, M & 7TH STs)",E01,,2009,2,004902,0049022
123,Station entrance from  Convention Center building located at the northwest corner of M St NW and 7th St NW.,150,38.905947,-77.02211,"NORTH ELEVATOR ENTRANCE (CONVENTION CENTER, M & 7TH STs)",E01,,2000,2,004902,0049022
124,Station entrance from  Convention Center building located at the southwest corner of M St NW and 7th St NW,151,38.905251,-77.02211700000001,"MAIN ENTRANCE (CONVENTION CENTER, M & 7TH STs)",E01,,2009,2,004902,0049022
125,Street level elevator from northeast corner of S St NW and 7th St NW.,152,38.914221999999995,-77.0216,NORTH ELEVATOR ENTRANCE (NORTHEAST CORNER OF 7TH & S STs),E02,,1004,1,004801,0048011
126,Canopied entrance from R St NW segment between 7th St NW and 8th St NW.,154,38.912779,-77.022723,SOUTH ENTRANCE (8TH & R STs),E02,,1000,1,004901,0049011
127,Station entrance from the south of 10th St and southwest corner of U St NW and Vermont Ave NW.,156,38.916714,-77.02597,EAST ENTRANCE (SOUTHWEST CORNER OF VERMONT AVE & U ST),E03,,2003,2,004400,0044002
128,Station entrance from southeast corner of 13th Ave NW and U St NW.,157,38.916823,-77.029193,WEST ENTRANCE (SOUTHEAST CORNER OF 13TH & U STs),E03,,2006,2,004400,0044002
129,Elevator entrance from southwest corner of 14th St NW and Irving St NW.,158,38.928557,-77.032802,WEST ELEVATOR ENTRANCE (SOUTHWEST OF 14TH ST NW & IRVING ST NW),E04,,1000,1,002802,0028021
130,Canopied escalator entrance from northeast corner of 14th St NW and Irving St NW.,159,38.928982,-77.03245,EAST ENTRANCE (NORTHEAST OF 14TH ST NW & IRVING ST NW),E04,,1005,1,003000,0030001
